Tags,Source,Info #,Material group,Material type,Manufacturer,Core (or Grain) size (nm),Hydrodynamic size (nm),Size distribution,Surface charge (mV),Surface Area (m^2/g),Shape,Assay method,Cell line (or type),Cell line species,IC origin,Exposure time,Dose (ug/ml),Toxicity value (%)
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,400,97.4815
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,600,88.8395
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,800,90.5679
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,1000,84.1728
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,0,100
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,200,98.2126
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,400,95.0693
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,600,95.0693
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,800,92.4807
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,1000,91.7411
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,0,100
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,100,96.963
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,200,99.037
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,400,95.5802
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,600,88.8395
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,800,87.8025
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,1000,82.7901
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,0,100
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,200,98.9522
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,400,98.3975
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,600,95.7165
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,800,94.5146
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,1000,92.0185
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,0,100
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,100,98.3457
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,200,96.4444
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,400,94.8889
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,600,91.9506
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,800,88.321
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,1000,88.1481
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,0,100
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,200,98.5824
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,400,97.6579
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,600,95.0693
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,800,93.4052
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,LDH,L929,Mouse,Subcutaneous connective tissue,24 h,1000,91.1864
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,0,100
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,100,100.7654
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,200,97.4815
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,400,98.3457
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,600,100.9383
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,800,97.8272
,article,22238510,Oxide,Fe3O4,,10,,,-20,,,WST,L929,Mouse,Subcutaneous connective tissue,24 h,1000,95.2346
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.00156,109.333
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.00625,106.667
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.025,106.182
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.1,100.606
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.4,85.818
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.8,70.545
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.00156,104.485
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.00625,100.364
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.025,96.485
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.1,94.788
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.4,76.848
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.8,71.03
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.00156,104
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.00625,104
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.025,98.182
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.1,101.818
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.4,88.485
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.8,80.485
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.00156,97.939
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.00625,100.364
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.025,98.667
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.1,98.909
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.4,91.394
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.8,83.636
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.00156,102.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.00625,97.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.025,93.25
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.1,85.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.4,72
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,96 h,0.8,62.25
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.00156,105.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.00625,106.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.025,108.25
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.1,97.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.4,82.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,72 h,0.8,70.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.00156,106
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.00625,106.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.025,110
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.1,101.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.4,87.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,48 h,0.8,77.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.00156,97.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.00625,99.75
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.025,100.25
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.1,95.25
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.4,95.5
,article,18502058,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,Alamar blue,A549,Human,Lung,24 h,0.8,89.25
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,0,100
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,6.25,42.55
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,12.5,38.255
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,25,35.839
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,50,30.47
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,100,27.785
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,150,25.906
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,120 h,200,19.463
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,0,0
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,25,43.5
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,6.25,47.383
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,12.5,42.819
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,50,35.839
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,100,32.617
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,150,30.738
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,96 h,200,21.074
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,0,0
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,25,25.4
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,50,60.5
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,100,64.8
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,150,78.5
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,6.25,51.946
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,12.5,47.919
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,72 h,200,25.101
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,0,0
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,25,16.4
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,50,51.4
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,100,57.9
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,150,61.9
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,6.25,56.779
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,12.5,52.483
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,48 h,200,31.544
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,0,0
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,25,5.3
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,50,32.2
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,100,48.8
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,150,52.1
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,6.25,61.342
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,12.5,58.926
,article,15585362,Carbon,SWCNT,Carbon Nanotechnologies Inc.,,,,,,,MTT,HEK-293,Human,Kidney,24 h,200,36.376
,article,15649621,Carbon,MWCNT,Self-synthesized,,,,,,,Neutral Red,HEK,Human,Neonatal epidermal keratinocytes,24 h,0,100
,article,15649621,Carbon,MWCNT,Self-synthesized,,,,,,,Neutral Red,HEK,Human,Neonatal epidermal keratinocytes,24 h,0.1,86.242
,article,15649621,Carbon,MWCNT,Self-synthesized,,,,,,,Neutral Red,HEK,Human,Neonatal epidermal keratinocytes,24 h,0.2,75.975
,article,15649621,Carbon,MWCNT,Self-synthesized,,,,,,,Neutral Red,HEK,Human,Neonatal epidermal keratinocytes,24 h,0.4,73.717
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.01,22.591
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.1,19.269
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.5,12.956
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,1,3.986
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,5,1.328
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,20,0.664
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,50,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,100,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.01,46.245
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.1,39.468
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.5,38.671
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,1,7.973
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,5,3.189
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,20,0.797
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,50,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,100,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,0.01,83.879
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,0.1,75.451
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,0.5,69.03
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,1,14.849
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,5,5.618
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,20,2.006
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,50,0.401
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,100,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,1,94.295
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,10,88.255
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,20,82.55
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,50,76.845
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,100,44.63
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,150,12.751
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,200,6.375
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,250,3.02
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,500,0.335
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.01,24.916
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.1,21.594
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.5,19.933
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,1,18.604
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,5,10.299
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,20,2.99
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,50,0.332
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,100,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.01,50.232
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.1,43.853
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.5,41.461
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,1,37.475
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,5,20.73
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,20,5.98
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,50,1.196
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,100,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,0.01,91.103
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,0.1,83.478
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,0.5,76.254
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,1,69.03
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,5,62.608
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,20,10.434
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,50,2.809
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,24 h,100,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,1,44.966
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,10,7.7181
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,20,4.698
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,50,2.349
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,100,1.342
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,150,0.335
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,200,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,250,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,500,0
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.01,94.039
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.1,91.721
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,0.5,89.404
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,1,96.755
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,5,84.106
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,20,81.457
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,50,79.139
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,72 h,100,77.483
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.01,101.2
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.1,99.6
,article,26176269,Other,CdSe,Sigma Aldrich,,,,,,,MTT,KB,Human,HeLa contaminant,48 h,0.5,95.6
