Tags,Source,Info #,Material group,Material type,Manufacturer,Core (or Grain) size (nm),Hydrodynamic size (nm),Size distribution,Surface charge (mV),Surface Area (m^2/g),Shape,Assay method,Cell line (or type),Cell line species,IC origin,Exposure time,Dose (ug/ml),Toxicity value (%)
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,48 h,100,23.3766
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,0,100
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,5,95.2381
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,15,80.6926
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,25,86.2338
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,50,81.039
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,75,62.1645
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,24 h,100,9.8701
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,0,100
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,5,99.3939
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,15,93.1602
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,25,99.9134
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,50,81.039
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,75,82.0779
,article,28586731,Oxide,ZnO,Sisco Research Laoratory,32.5,,,,,Sphere,MTT,HEK-293,Human,Kidney,3 h,100,67.7056
,article,28527997,Oxide,ZnO,Self-synthesized,75,377.7,,30,37.1,,MTT,C6,Rat,Brain,24 h,0,100
,article,28527997,Oxide,ZnO,Self-synthesized,75,377.7,,30,37.1,,MTT,C6,Rat,Brain,24 h,5,100
,article,28527997,Oxide,ZnO,Self-synthesized,75,377.7,,30,37.1,,MTT,C6,Rat,Brain,24 h,10,99.6974
,article,28527997,Oxide,ZnO,Self-synthesized,75,377.7,,30,37.1,,MTT,C6,Rat,Brain,24 h,20,86.8381
,article,28527997,Oxide,ZnO,Self-synthesized,75,377.7,,30,37.1,,MTT,C6,Rat,Brain,24 h,40,60.5144
,article,28527997,Oxide,ZnO,Self-synthesized,75,377.7,,30,37.1,,MTT,C6,Rat,Brain,24 h,80,39.0318
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,0.78,105
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,1.56,90.8654
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,3.13,97.5962
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,6.25,100.2885
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,12.5,95.5769
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,25,75.1603
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,50,43.75
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,100,7.1795
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,0.78,120.7051
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,1.56,106.5705
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,3.13,109.0385
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,6.25,96.0256
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,12.5,80.7692
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,25,69.3269
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,50,42.8526
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,100,13.2372
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,0.78,109.0385
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,1.56,114.1987
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,3.13,109.4872
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,6.25,102.7564
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,12.5,105
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,25,91.0897
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,50,65.9615
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,100,26.0256
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,0.78,113.2113
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,1.56,106.4559
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,3.13,108.5524
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,6.25,112.0466
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,12.5,109.2512
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,25,97.1381
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,50,80.3661
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,72 h,100,4.6589
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,0.78,123.228
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,1.56,112.9784
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,3.13,106.4559
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,6.25,93.411
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,12.5,97.1381
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,25,87.8203
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,50,77.3378
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,48 h,100,14.2096
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,0.78,103.6606
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,1.56,103.6606
,article,28336890,Oxide,ZnO,Sigma Aldrich,,239.8,,,,,MTT,HaCaT,Human,Skin,24 h,3.13,109.0183
